,I,q
0,184.5684443,0.0037
1,180.3896472,0.003779915
2,176.1214583,0.003861555
3,171.7662386,0.003944959
4,167.3267764,0.004030164
5,162.8063098,0.00411721
6,158.2085487,0.004206136
7,153.5376955,0.004296982
8,148.7984641,0.004389791
9,143.9960967,0.004484604
10,139.1363788,0.004581464
11,134.2256502,0.004680417
12,129.2708135,0.004781507
13,124.2793381,0.004884781
14,119.259259,0.004990285
15,114.219172,0.005098068
16,109.1682208,0.005208179
17,104.1160796,0.005320668
18,99.07292762,0.005435586
19,94.04941577,0.005552987
20,89.0566257,0.005672923
21,84.10601967,0.00579545
22,79.20938134,0.005920623
23,74.37874714,0.0060485
24,69.62632792,0.006179139
25,64.96442086,0.006312599
26,60.40531192,0.006448942
27,55.96116906,0.00658823
28,51.64392685,0.006730526
29,47.46516347,0.006875895
30,43.43597119,0.007024404
31,39.56682186,0.007176121
32,35.86742925,0.007331115
33,32.3466104,0.007489456
34,29.01214864,0.007651217
35,25.87066091,0.007816472
36,22.92747272,0.007985297
37,20.18650409,0.008157767
38,17.65017002,0.008333963
39,15.31929922,0.008513965
40,13.19307477,0.008697854
41,11.26900021,0.008885715
42,9.542894402,0.009077633
43,8.008917844,0.009273697
44,6.659632752,0.009473995
45,5.48609819,0.009678619
46,4.478000683,0.009887663
47,3.62381953,0.010101222
48,2.911024762,0.010319394
49,2.326304282,0.010542277
50,1.855815287,0.010769975
51,1.485453626,0.011002591
52,1.201133443,0.01124023
53,0.989068304,0.011483003
54,0.836044168,0.011731019
55,0.729674092,0.011984392
56,0.658624615,0.012243237
57,0.612804302,0.012507673
58,0.583506117,0.01277782
59,0.563497098,0.013053802
60,0.547051119,0.013335745
61,0.529923383,0.013623778
62,0.509268455,0.013918031
63,0.483506935,0.01421864
64,0.452149054,0.014525742
65,0.415586294,0.014839477
66,0.374864255,0.015159988
67,0.331451209,0.015487421
68,0.287016928,0.015821927
69,0.24323522,0.016163657
70,0.201621404,0.016512768
71,0.163412587,0.01686942
72,0.129494623,0.017233774
73,0.10037527,0.017605999
74,0.076198901,0.017986262
75,0.056794645,0.018374739
76,0.041747413,0.018771606
77,0.030480292,0.019177046
78,0.022337242,0.019591242
79,0.016656818,0.020014384
80,0.012830399,0.020446665
81,0.010341552,0.020888283
82,0.008786237,0.021339439
83,0.007875928,0.021800339
84,0.007427268,0.022271195
85,0.007342405,0.02275222
86,0.007584034,0.023243634
87,0.008148658,0.023745663
88,0.009041163,0.024258534
89,0.010253547,0.024782483
90,0.011750524,0.025317748
91,0.013464313,0.025864574
92,0.015299764,0.026423211
93,0.01714887,0.026993913
94,0.01891097,0.027576942
95,0.020512441,0.028172564
96,0.021918829,0.02878105
97,0.023134121,0.029402678
98,0.024186415,0.030037733
99,0.025105229,0.030686503
100,0.025900335,0.031349287
101,0.026552584,0.032026385
102,0.027022187,0.032718108
103,0.027270833,0.033424771
104,0.027285441,0.034146697
105,0.02708862,0.034884216
106,0.026727445,0.035637663
107,0.026245501,0.036407385
108,0.025655686,0.037193731
109,0.024933496,0.037997061
110,0.024038491,0.038817741
111,0.02295129,0.039656147
112,0.021699373,0.040512662
113,0.020349971,0.041387676
114,0.018972439,0.042281589
115,0.017598378,0.043194809
116,0.016212633,0.044127753
117,0.014783954,0.045080848
118,0.01330865,0.046054528
119,0.011827029,0.047049238
120,0.010397262,0.048065432
121,0.009053363,0.049103575
122,0.007790291,0.05016414
123,0.006589609,0.051247612
124,0.005454289,0.052354485
125,0.004412792,0.053485265
126,0.003491575,0.054640468
127,0.002693273,0.055820622
128,0.002005974,0.057026265
129,0.00142517,0.058257949
130,0.000956556,0.059516235
131,0.000601197,0.060801698
132,0.000349603,0.062114925
133,0.000190554,0.063456516
134,0.000115457,0.064827084
135,0.000113155,0.066227254
136,0.000169624,0.067657665
137,0.000272273,0.069118971
138,0.000407229,0.070611839
139,0.00055788,0.072136951
140,0.000712504,0.073695003
141,0.000862744,0.075286707
142,0.000993579,0.076912789
143,0.001092474,0.078573992
144,0.001160447,0.080271075
145,0.001194843,0.082004812
146,0.001184896,0.083775996
147,0.001135417,0.085585434
148,0.001057724,0.087433954
149,0.000949557,0.089322399
150,0.000817065,0.091251631
151,0.000676753,0.093222532
152,0.00053319,0.095236002
153,0.000393663,0.09729296
154,0.000270812,0.099394345
155,0.000168704,0.101541116
156,9.20756E-05,0.103734255
157,4.40688E-05,0.105974763
158,2.36309E-05,0.108263662
159,2.81635E-05,0.110601998
160,5.26003E-05,0.112990838
161,9.01843E-05,0.115431274
162,0.000133355,0.11792442
163,0.000175021,0.120471414
164,0.000207283,0.12307342
165,0.000227088,0.125731625
166,0.000229333,0.128447243
167,0.000216137,0.131221515
168,0.000188029,0.134055707
169,0.000150733,0.136951113
170,0.000109337,0.139909056
171,7.04125E-05,0.142930886
172,3.92289E-05,0.146017983
173,1.97238E-05,0.149171756
174,1.32831E-05,0.152393647
175,1.88262E-05,0.155685126
176,3.29488E-05,0.159047696
177,5.07525E-05,0.162482892
178,6.6719E-05,0.165992284
179,7.67362E-05,0.169577473
180,7.76092E-05,0.173240097
181,6.97335E-05,0.176981829
182,5.51601E-05,0.180804376
183,3.78939E-05,0.184709485
184,2.27591E-05,0.188698938
185,1.33401E-05,0.192774558
186,1.14311E-05,0.196938205
187,1.62644E-05,0.201191781
188,2.48537E-05,0.205537228
189,3.31204E-05,0.20997653
190,3.75332E-05,0.214511714
191,3.62257E-05,0.219144852
192,2.97859E-05,0.223878059
