,I,q
0,,0.0037
1,,0.003779915
2,,0.003861555
3,,0.003944959
4,,0.004030164
5,,0.00411721
6,,0.004206136
7,,0.004296982
8,,0.004389791
9,,0.004484604
10,,0.004581464
11,,0.004680417
12,,0.004781507
13,,0.004884781
14,,0.004990285
15,,0.005098068
16,,0.005208179
17,,0.005320668
18,,0.005435586
19,,0.005552987
20,,0.005672923
21,,0.00579545
22,,0.005920623
23,,0.0060485
24,,0.006179139
25,,0.006312599
26,,0.006448942
27,,0.00658823
28,,0.006730526
29,,0.006875895
30,,0.007024404
31,,0.007176121
32,,0.007331115
33,,0.007489456
34,,0.007651217
35,,0.007816472
36,,0.007985297
37,,0.008157767
38,,0.008333963
39,,0.008513965
40,,0.008697854
41,,0.008885715
42,,0.009077633
43,,0.009273697
44,,0.009473995
45,,0.009678619
46,,0.009887663
47,,0.010101222
48,,0.010319394
49,,0.010542277
50,,0.010769975
51,,0.011002591
52,,0.01124023
53,,0.011483003
54,,0.011731019
55,,0.011984392
56,,0.012243237
57,,0.012507673
58,,0.01277782
59,,0.013053802
60,,0.013335745
61,,0.013623778
62,,0.013918031
63,,0.01421864
64,,0.014525742
65,,0.014839477
66,,0.015159988
67,,0.015487421
68,,0.015821927
69,,0.016163657
70,,0.016512768
71,,0.01686942
72,,0.017233774
73,,0.017605999
74,,0.017986262
75,,0.018374739
76,,0.018771606
77,,0.019177046
78,,0.019591242
79,,0.020014384
80,,0.020446665
81,,0.020888283
82,,0.021339439
83,,0.021800339
84,,0.022271195
85,,0.02275222
86,,0.023243634
87,,0.023745663
88,,0.024258534
89,,0.024782483
90,,0.025317748
91,,0.025864574
92,,0.026423211
93,,0.026993913
94,,0.027576942
95,,0.028172564
96,,0.02878105
97,,0.029402678
98,,0.030037733
99,,0.030686503
100,,0.031349287
101,,0.032026385
102,,0.032718108
103,,0.033424771
104,,0.034146697
105,,0.034884216
106,,0.035637663
107,,0.036407385
108,,0.037193731
109,,0.037997061
110,,0.038817741
111,,0.039656147
112,,0.040512662
113,,0.041387676
114,,0.042281589
115,,0.043194809
116,,0.044127753
117,,0.045080848
118,,0.046054528
119,,0.047049238
120,,0.048065432
121,,0.049103575
122,,0.05016414
123,,0.051247612
124,,0.052354485
125,,0.053485265
126,,0.054640468
127,,0.055820622
128,,0.057026265
129,,0.058257949
130,,0.059516235
131,,0.060801698
132,,0.062114925
133,,0.063456516
134,,0.064827084
135,,0.066227254
136,,0.067657665
137,,0.069118971
138,,0.070611839
139,,0.072136951
140,,0.073695003
141,,0.075286707
142,,0.076912789
143,,0.078573992
144,,0.080271075
145,,0.082004812
146,,0.083775996
147,,0.085585434
148,,0.087433954
149,,0.089322399
150,,0.091251631
151,,0.093222532
152,,0.095236002
153,,0.09729296
154,,0.099394345
155,,0.101541116
156,,0.103734255
157,,0.105974763
158,,0.108263662
159,,0.110601998
160,,0.112990838
161,,0.115431274
162,,0.11792442
163,,0.120471414
164,,0.12307342
165,,0.125731625
166,,0.128447243
167,,0.131221515
168,,0.134055707
169,,0.136951113
170,,0.139909056
171,,0.142930886
172,,0.146017983
173,,0.149171756
174,,0.152393647
175,,0.155685126
176,,0.159047696
177,,0.162482892
178,,0.165992284
179,,0.169577473
180,,0.173240097
181,,0.176981829
182,,0.180804376
183,,0.184709485
184,,0.188698938
185,,0.192774558
186,,0.196938205
187,,0.201191781
188,,0.205537228
189,,0.20997653
190,,0.214511714
191,,0.219144852
192,,0.223878059
193,,0.228713496
194,,0.233653371
195,,0.23869994
196,,0.243855508
197,,0.249122429
198,,0.254503107
199,,0.26
