,I,q
0,18456.84443,0.0037
1,18038.96472,0.003779915
2,17612.14583,0.003861555
3,17176.62386,0.003944959
4,16732.67764,0.004030164
5,16280.63098,0.00411721
6,15820.85487,0.004206136
7,15353.76955,0.004296982
8,14879.84641,0.004389791
9,14399.60967,0.004484604
10,13913.63788,0.004581464
11,13422.56502,0.004680417
12,12927.08135,0.004781507
13,12427.93381,0.004884781
14,11925.9259,0.004990285
15,11421.9172,0.005098068
16,10916.82208,0.005208179
17,10411.60796,0.005320668
18,9907.292762,0.005435586
19,9404.941577,0.005552987
20,8905.66257,0.005672923
21,8410.601967,0.00579545
22,7920.938134,0.005920623
23,7437.874714,0.0060485
24,6962.632792,0.006179139
25,6496.442086,0.006312599
26,6040.531192,0.006448942
27,5596.116906,0.00658823
28,5164.392685,0.006730526
29,4746.516347,0.006875895
30,4343.597119,0.007024404
31,3956.682186,0.007176121
32,3586.742925,0.007331115
33,3234.66104,0.007489456
34,2901.214864,0.007651217
35,2587.066091,0.007816472
36,2292.747272,0.007985297
37,2018.650409,0.008157767
38,1765.017002,0.008333963
39,1531.929922,0.008513965
40,1319.307477,0.008697854
41,1126.900021,0.008885715
42,954.2894402,0.009077633
43,800.8917844,0.009273697
44,665.9632752,0.009473995
45,548.609819,0.009678619
46,447.8000683,0.009887663
47,362.381953,0.010101222
48,291.1024762,0.010319394
49,232.6304282,0.010542277
50,185.5815287,0.010769975
51,148.5453626,0.011002591
52,120.1133443,0.01124023
53,98.90683044,0.011483003
54,83.60441676,0.011731019
55,72.96740915,0.011984392
56,65.86246152,0.012243237
57,61.28043016,0.012507673
58,58.35061166,0.01277782
59,56.3497098,0.013053802
60,54.70511188,0.013335745
61,52.99233826,0.013623778
62,50.92684551,0.013918031
63,48.35069351,0.01421864
64,45.2149054,0.014525742
65,41.55862943,0.014839477
66,37.48642546,0.015159988
67,33.14512095,0.015487421
68,28.70169281,0.015821927
69,24.32352203,0.016163657
70,20.16214041,0.016512768
71,16.34125871,0.01686942
72,12.94946233,0.017233774
73,10.03752698,0.017605999
74,7.619890125,0.017986262
75,5.679464547,0.018374739
76,4.174741325,0.018771606
77,3.048029217,0.019177046
78,2.233724176,0.019591242
79,1.665681814,0.020014384
80,1.28303987,0.020446665
81,1.034155212,0.020888283
82,0.878623719,0.021339439
83,0.787592846,0.021800339
84,0.74272681,0.022271195
85,0.734240528,0.02275222
86,0.758403409,0.023243634
87,0.814865821,0.023745663
88,0.904116345,0.024258534
89,1.025354726,0.024782483
90,1.175052422,0.025317748
91,1.346431322,0.025864574
92,1.529976356,0.026423211
93,1.71488699,0.026993913
94,1.891096962,0.027576942
95,2.051244054,0.028172564
96,2.191882924,0.02878105
97,2.313412075,0.029402678
98,2.418641508,0.030037733
99,2.510522949,0.030686503
100,2.590033509,0.031349287
101,2.655258437,0.032026385
102,2.702218665,0.032718108
103,2.727083304,0.033424771
104,2.728544073,0.034146697
105,2.70886199,0.034884216
106,2.672744456,0.035637663
107,2.62455009,0.036407385
108,2.565568578,0.037193731
109,2.49334964,0.037997061
110,2.403849056,0.038817741
111,2.295129024,0.039656147
112,2.169937316,0.040512662
113,2.03499705,0.041387676
114,1.897243948,0.042281589
115,1.759837805,0.043194809
116,1.621263282,0.044127753
117,1.478395423,0.045080848
118,1.330864984,0.046054528
119,1.182702914,0.047049238
120,1.039726187,0.048065432
121,0.905336264,0.049103575
122,0.77902906,0.05016414
123,0.658960869,0.051247612
124,0.545428911,0.052354485
125,0.441279214,0.053485265
126,0.349157515,0.054640468
127,0.269327273,0.055820622
128,0.200597427,0.057026265
129,0.142517026,0.058257949
130,0.095655593,0.059516235
131,0.060119738,0.060801698
132,0.034960313,0.062114925
133,0.019055376,0.063456516
134,0.011545665,0.064827084
135,0.011315518,0.066227254
136,0.016962438,0.067657665
137,0.027227324,0.069118971
138,0.040722896,0.070611839
139,0.055788042,0.072136951
140,0.071250414,0.073695003
141,0.086274351,0.075286707
142,0.0993579,0.076912789
143,0.109247365,0.078573992
144,0.116044667,0.080271075
145,0.119484302,0.082004812
146,0.118489614,0.083775996
147,0.113541729,0.085585434
148,0.10577236,0.087433954
149,0.094955739,0.089322399
150,0.081706533,0.091251631
151,0.0676753,0.093222532
152,0.053319011,0.095236002
153,0.039366338,0.09729296
154,0.027081158,0.099394345
155,0.016870419,0.101541116
156,0.009207563,0.103734255
157,0.00440688,0.105974763
158,0.002363085,0.108263662
159,0.002816347,0.110601998
160,0.005260032,0.112990838
161,0.009018432,0.115431274
162,0.013335522,0.11792442
163,0.017502133,0.120471414
164,0.020728298,0.12307342
165,0.022708764,0.125731625
166,0.022933346,0.128447243
167,0.021613731,0.131221515
168,0.018802885,0.134055707
169,0.015073302,0.136951113
170,0.010933652,0.139909056
171,0.007041245,0.142930886
172,0.003922887,0.146017983
173,0.001972377,0.149171756
174,0.001328306,0.152393647
175,0.001882622,0.155685126
176,0.003294882,0.159047696
177,0.005075253,0.162482892
178,0.006671897,0.165992284
179,0.007673617,0.169577473
180,0.007760924,0.173240097
181,0.006973348,0.176981829
182,0.005516006,0.180804376
183,0.003789387,0.184709485
184,0.002275909,0.188698938
185,0.001334006,0.192774558
186,0.001143112,0.196938205
187,0.001626437,0.201191781
188,0.002485367,0.205537228
189,0.00331204,0.20997653
190,0.003753321,0.214511714
191,0.003622566,0.219144852
192,0.002978586,0.223878059
193,0.002107542,0.228713496
194,0.001375055,0.233653371
195,0.001058215,0.23869994
196,0.001223735,0.243855508
197,0.001697734,0.249122429
198,0.002161601,0.254503107
199,0.002328978,0.26
